"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Seagrasses"	"Senile.coral.reef"
"1"	"f004/elh2_004292.jpg"	0	0.292	0.03	0	0.678
"2"	"f004/elh2_004852.jpg"	0.022	0.724	0	0	0.254
"3"	"f004/elh2_004657.jpg"	0.08	0.484	0	0	0.436
"4"	"f004/elh2_004695.jpg"	0.022	0.202	0	0	0.776
"5"	"f004/elh2_004027.jpg"	0	0	1	0	0
"6"	"f004/elh2_004562.jpg"	0.004	0.306	0.004	0	0.686
"7"	"f004/elh2_004724.jpg"	0.242	0.306	0	0	0.452
"8"	"f004/elh2_004333.jpg"	0	0.842	0.024	0	0.134
"9"	"f004/elh2_004215.jpg"	0	0.132	0.058	0	0.81
"10"	"f004/elh2_004224.jpg"	0	0.504	0.24	0	0.256
"11"	"f004/elh2_004696.jpg"	0.048	0.262	0	0	0.69
"12"	"f004/elh2_004818.jpg"	0.01	0.098	0	0	0.892
"13"	"f004/elh2_004038.jpg"	0	0.05	0.824	0	0.126
"14"	"f004/elh2_004404.jpg"	0.004	0.772	0.022	0	0.202
"15"	"f004/elh2_004259.jpg"	0	0.81	0.078	0	0.112
"16"	"f004/elh2_004636.jpg"	0	0.066	0	0	0.934
"17"	"f004/elh2_004898.jpg"	0.018	0.484	0	0	0.498
"18"	"f004/elh2_004053.jpg"	0	0	1	0	0
"19"	"f004/elh2_004338.jpg"	0	0.69	0.048	0	0.262
"20"	"f004/elh2_004211.jpg"	0	0.236	0.078	0	0.686
"21"	"f004/elh2_004784.jpg"	0.614	0.192	0	0	0.194
"22"	"f004/elh2_004962.jpg"	0.044	0.75	0	0	0.206
"23"	"f004/elh2_004283.jpg"	0.002	0.582	0.028	0	0.388
"24"	"f004/elh2_004068.jpg"	0	0.052	0.942	0	0.006
"25"	"f004/elh2_004166.jpg"	0	0.254	0.73	0	0.016
"26"	"f004/elh2_004345.jpg"	0	0.63	0.048	0	0.322
"27"	"f004/elh2_004752.jpg"	0.178	0.538	0.102	0	0.182
"28"	"f004/elh2_004667.jpg"	0.004	0.146	0	0	0.85
"29"	"f004/elh2_004977.jpg"	0.028	0.318	0	0	0.654
"30"	"f004/elh2_004899.jpg"	0.034	0.744	0	0	0.222
"31"	"f004/elh2_004119.jpg"	0	0.016	0.864	0.12	0
"32"	"f004/elh2_004900.jpg"	0.01	0.732	0	0	0.258
"33"	"f004/elh2_004009.jpg"	0	0.006	0.884	0.11	0
"34"	"f004/elh2_004291.jpg"	0	0.67	0.16	0	0.17
"35"	"f004/elh2_004953.jpg"	0.072	0.284	0	0	0.644
"36"	"f004/elh2_004990.jpg"	0.106	0.21	0	0	0.684
"37"	"f004/elh2_004312.jpg"	0	0.846	0.04	0	0.114
"38"	"f004/elh2_004082.jpg"	0	0	1	0	0
"39"	"f004/elh2_004189.jpg"	0	0.266	0.222	0	0.512
"40"	"f004/elh2_004949.jpg"	0.002	0.05	0	0	0.948
"41"	"f004/elh2_004832.jpg"	0.12	0.246	0	0	0.634
"42"	"f004/elh2_004213.jpg"	0	0.448	0.214	0	0.338
"43"	"f004/elh2_004111.jpg"	0	0.284	0.674	0	0.042
"44"	"f004/elh2_004055.jpg"	0	0	1	0	0
"45"	"f004/elh2_004212.jpg"	0	0.386	0.1	0	0.514
"46"	"f004/elh2_004859.jpg"	0.308	0.536	0	0	0.156
"47"	"f004/elh2_004418.jpg"	0.03	0.604	0	0	0.366
"48"	"f004/elh2_004411.jpg"	0.002	0.698	0.024	0	0.276
"49"	"f004/elh2_004127.jpg"	0	0.114	0.866	0.002	0.018
"50"	"f004/elh2_004769.jpg"	0.288	0.408	0	0	0.304
"51"	"f004/elh2_004084.jpg"	0	0.01	0.982	0	0.008
"52"	"f004/elh2_004817.jpg"	0.016	0.244	0	0	0.74
"53"	"f004/elh2_004378.jpg"	0.01	0.832	0.008	0	0.15
"54"	"f004/elh2_004872.jpg"	0.116	0.542	0	0	0.342
"55"	"f004/elh2_004261.jpg"	0.002	0.376	0.276	0	0.346
"56"	"f004/elh2_004498.jpg"	0.018	0.64	0	0	0.342
"57"	"f004/elh2_004854.jpg"	0.076	0.396	0	0	0.528
"58"	"f004/elh2_004094.jpg"	0	0.048	0.952	0	0
"59"	"f004/elh2_004946.jpg"	0	0.036	0	0	0.964
"60"	"f004/elh2_004767.jpg"	0.356	0.408	0	0	0.236
"61"	"f004/elh2_004762.jpg"	0.066	0.172	0.002	0	0.76
"62"	"f004/elh2_004576.jpg"	0.036	0.26	0	0	0.704
"63"	"f004/elh2_004619.jpg"	0.002	0.196	0	0	0.802
"64"	"f004/elh2_004392.jpg"	0	0.902	0.014	0	0.084
"65"	"f004/elh2_004548.jpg"	0.038	0.476	0	0	0.486
"66"	"f004/elh2_004070.jpg"	0	0	1	0	0
"67"	"f004/elh2_004971.jpg"	0.01	0.134	0	0	0.856
"68"	"f004/elh2_004457.jpg"	0.032	0.824	0.002	0	0.142
"69"	"f004/elh2_004445.jpg"	0.01	0.64	0	0	0.35
"70"	"f004/elh2_004514.jpg"	0.012	0.556	0.002	0	0.43
"71"	"f004/elh2_004581.jpg"	0.048	0.408	0	0	0.544
"72"	"f004/elh2_004086.jpg"	0	0.01	0.978	0.012	0
"73"	"f004/elh2_004543.jpg"	0.004	0.172	0	0	0.824
"74"	"f004/elh2_004680.jpg"	0	0.346	0.072	0	0.582
"75"	"f004/elh2_004865.jpg"	0.17	0.62	0	0	0.21
"76"	"f004/elh2_004565.jpg"	0	0.21	0	0	0.79
"77"	"f004/elh2_004279.jpg"	0	0.402	0.098	0	0.5
"78"	"f004/elh2_004180.jpg"	0	0.092	0.142	0	0.766
"79"	"f004/elh2_004598.jpg"	0.004	0.38	0	0	0.616
"80"	"f004/elh2_004718.jpg"	0.026	0.38	0	0	0.594
