"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Senile.coral.reef"
"1"	"f000/wlh2_000158.jpg"	0.32	0.338	0	0.342
"2"	"f000/wlh2_000361.jpg"	0.236	0.428	0.002	0.334
"3"	"f000/wlh2_000672.jpg"	0	0.324	0	0.676
"4"	"f000/wlh2_000465.jpg"	1	0	0	0
"5"	"f000/wlh2_000639.jpg"	0.024	0.888	0.002	0.086
"6"	"f000/wlh2_000762.jpg"	0.822	0.108	0	0.07
"7"	"f000/wlh2_000535.jpg"	0.968	0.016	0	0.016
"8"	"f000/wlh2_000275.jpg"	0.08	0.106	0.002	0.812
"9"	"f000/wlh2_000341.jpg"	0.96	0.03	0	0.01
"10"	"f000/wlh2_000731.jpg"	0.142	0.808	0	0.05
"11"	"f000/wlh2_000419.jpg"	0.224	0.68	0	0.096
"12"	"f000/wlh2_000616.jpg"	0.09	0.802	0.004	0.104
"13"	"f000/wlh2_000843.jpg"	0.912	0.036	0	0.052
"14"	"f000/wlh2_000013.jpg"	0.996	0.002	0	0.002
"15"	"f000/wlh2_000903.jpg"	0.836	0.114	0	0.05
"16"	"f000/wlh2_000170.jpg"	0.016	0.09	0	0.894
"17"	"f000/wlh2_000897.jpg"	0.984	0.002	0	0.014
"18"	"f000/wlh2_000860.jpg"	0.824	0.108	0	0.068
"19"	"f000/wlh2_000669.jpg"	0.024	0.848	0	0.128
"20"	"f000/wlh2_000425.jpg"	0.048	0.854	0	0.098
"21"	"f000/wlh2_000587.jpg"	0.29	0.55	0.002	0.158
"22"	"f000/wlh2_000435.jpg"	0.016	0.898	0	0.086
"23"	"f000/wlh2_000696.jpg"	0.012	0.28	0	0.708
"24"	"f000/wlh2_000501.jpg"	0.998	0	0	0.002
"25"	"f000/wlh2_000093.jpg"	0.198	0.528	0.002	0.272
"26"	"f000/wlh2_000712.jpg"	0.922	0.066	0	0.012
"27"	"f000/wlh2_000709.jpg"	0.008	0.912	0	0.08
"28"	"f000/wlh2_000814.jpg"	0.078	0.656	0	0.266
"29"	"f000/wlh2_000057.jpg"	0.116	0.8	0	0.084
"30"	"f000/wlh2_000674.jpg"	0	0.348	0	0.652
"31"	"f000/wlh2_000953.jpg"	0.982	0.008	0.002	0.008
"32"	"f000/wlh2_000005.jpg"	0.97	0.008	0	0.022
"33"	"f000/wlh2_000348.jpg"	0.068	0.788	0	0.144
"34"	"f000/wlh2_000347.jpg"	0.04	0.908	0	0.052
"35"	"f000/wlh2_000395.jpg"	0.102	0.472	0	0.426
"36"	"f000/wlh2_000873.jpg"	0.346	0.306	0	0.348
"37"	"f000/wlh2_000129.jpg"	0.422	0.254	0.002	0.322
"38"	"f000/wlh2_000115.jpg"	0.268	0.448	0.008	0.276
"39"	"f000/wlh2_000483.jpg"	0.99	0.002	0	0.008
"40"	"f000/wlh2_000662.jpg"	0.008	0.296	0.002	0.694
"41"	"f000/wlh2_000714.jpg"	0.746	0.114	0.006	0.134
"42"	"f000/wlh2_000952.jpg"	0.974	0.002	0	0.024
"43"	"f000/wlh2_000657.jpg"	0.982	0.014	0	0.004
"44"	"f000/wlh2_000533.jpg"	0.998	0	0	0.002
"45"	"f000/wlh2_000251.jpg"	0.702	0.106	0	0.192
"46"	"f000/wlh2_000210.jpg"	0.232	0.626	0	0.142
"47"	"f000/wlh2_000091.jpg"	0.762	0.096	0	0.142
"48"	"f000/wlh2_000219.jpg"	0.1	0.294	0	0.606
"49"	"f000/wlh2_000200.jpg"	0.268	0.166	0.002	0.564
"50"	"f000/wlh2_000396.jpg"	0.062	0.282	0	0.656
"51"	"f000/wlh2_000995.jpg"	0.986	0.008	0	0.006
"52"	"f000/wlh2_000542.jpg"	1	0	0	0
"53"	"f000/wlh2_000561.jpg"	1	0	0	0
"54"	"f000/wlh2_000138.jpg"	0.076	0.076	0	0.848
"55"	"f000/wlh2_000300.jpg"	0.22	0.458	0	0.322
"56"	"f000/wlh2_000282.jpg"	0.418	0.35	0.002	0.23
"57"	"f000/wlh2_000422.jpg"	0.016	0.888	0	0.096
"58"	"f000/wlh2_000521.jpg"	1	0	0	0
"59"	"f000/wlh2_000536.jpg"	0.996	0.002	0	0.002
"60"	"f000/wlh2_000323.jpg"	0.296	0.508	0.004	0.192
"61"	"f000/wlh2_000817.jpg"	0.014	0.356	0	0.63
"62"	"f000/wlh2_000613.jpg"	0.106	0.766	0.002	0.126
"63"	"f000/wlh2_000126.jpg"	0.05	0.092	0.002	0.856
"64"	"f000/wlh2_000472.jpg"	0.964	0.016	0	0.02
"65"	"f000/wlh2_000378.jpg"	0.79	0.134	0	0.076
"66"	"f000/wlh2_000950.jpg"	0.968	0.006	0	0.026
"67"	"f000/wlh2_000893.jpg"	0.032	0.658	0	0.31
"68"	"f000/wlh2_000193.jpg"	0.916	0.03	0	0.054
"69"	"f000/wlh2_000790.jpg"	0.816	0.154	0	0.03
"70"	"f000/wlh2_000258.jpg"	0.986	0.006	0.004	0.004
"71"	"f000/wlh2_000295.jpg"	0.746	0.126	0	0.128
"72"	"f000/wlh2_000614.jpg"	0.872	0.07	0	0.058
"73"	"f000/wlh2_000992.jpg"	0.992	0.004	0	0.004
"74"	"f000/wlh2_000232.jpg"	0.754	0.136	0	0.11
"75"	"f000/wlh2_000439.jpg"	0.094	0.732	0.002	0.172
"76"	"f000/wlh2_000111.jpg"	0.35	0.378	0.012	0.26
"77"	"f000/wlh2_000695.jpg"	0.136	0.64	0	0.224
"78"	"f000/wlh2_000902.jpg"	0.978	0.012	0	0.01
"79"	"f000/wlh2_000935.jpg"	0.184	0.704	0	0.112
"80"	"f000/wlh2_000355.jpg"	0.208	0.452	0.01	0.33
"81"	"f000/wlh2_000302.jpg"	0.156	0.404	0.004	0.436
"82"	"f000/wlh2_000230.jpg"	0.842	0.088	0	0.07
"83"	"f000/wlh2_000384.jpg"	0.08	0.05	0	0.87
"84"	"f000/wlh2_000755.jpg"	0.862	0.084	0	0.054
"85"	"f000/wlh2_000921.jpg"	0.034	0.62	0	0.346
"86"	"f000/wlh2_000499.jpg"	0.998	0.002	0	0
"87"	"f000/wlh2_000107.jpg"	0.782	0.13	0.008	0.08
"88"	"f000/wlh2_000161.jpg"	0.07	0.06	0	0.87
"89"	"f000/wlh2_000768.jpg"	0.034	0.546	0.002	0.418
"90"	"f000/wlh2_000002.jpg"	0.536	0.16	0.002	0.302
"91"	"f000/wlh2_000049.jpg"	0.81	0.14	0	0.05
"92"	"f000/wlh2_000110.jpg"	0.75	0.098	0.002	0.15
"93"	"f000/wlh2_000816.jpg"	0.062	0.57	0	0.368
"94"	"f000/wlh2_000628.jpg"	0.026	0.866	0.002	0.106
"95"	"f000/wlh2_000117.jpg"	0.12	0.35	0.004	0.526
"96"	"f000/wlh2_000858.jpg"	0.938	0.028	0	0.034
"97"	"f000/wlh2_000772.jpg"	0.95	0.036	0	0.014
"98"	"f000/wlh2_000809.jpg"	0.154	0.388	0	0.458
"99"	"f000/wlh2_000101.jpg"	0.24	0.546	0.026	0.188
"100"	"f000/wlh2_000283.jpg"	0.064	0.06	0.002	0.874
"101"	"f000/wlh2_000710.jpg"	0.28	0.604	0.002	0.114
"102"	"f000/wlh2_000148.jpg"	0.084	0.196	0	0.72
"103"	"f000/wlh2_000372.jpg"	0.248	0.572	0	0.18
"104"	"f000/wlh2_000340.jpg"	0.968	0.022	0	0.01
"105"	"f000/wlh2_000141.jpg"	0.27	0.066	0.002	0.662
"106"	"f000/wlh2_000923.jpg"	0.002	0.926	0	0.072
"107"	"f000/wlh2_000567.jpg"	0.996	0.002	0	0.002
"108"	"f000/wlh2_000862.jpg"	0.596	0.328	0	0.076
"109"	"f000/wlh2_000432.jpg"	0.022	0.878	0.002	0.098
"110"	"f000/wlh2_000180.jpg"	0.442	0.19	0.002	0.366
"111"	"f000/wlh2_000747.jpg"	0.846	0.07	0	0.084
"112"	"f000/wlh2_000058.jpg"	0.032	0.934	0.002	0.032
"113"	"f000/wlh2_000891.jpg"	0.16	0.14	0	0.7
"114"	"f000/wlh2_000882.jpg"	0.084	0.566	0.002	0.348
"115"	"f000/wlh2_000623.jpg"	0.104	0.802	0	0.094
"116"	"f000/wlh2_000880.jpg"	0.032	0.878	0	0.09
"117"	"f000/wlh2_000365.jpg"	0.394	0.306	0.008	0.292
