"Carbonate sand"	"Coral rubble"	"Indeterminate"	"Live reef"	"Senile coral reef"	"Thalassia"
"1"	0.992	0.004	0	0	0.004	0
"2"	0.992	0.002	0	0.006	0	0
"3"	0.996	0.004	0	0	0	0
"4"	0.99	0.004	0	0.004	0.002	0
"5"	0.996	0.002	0	0.002	0	0
"6"	0.986	0.01	0	0.002	0.002	0
"7"	1	0	0	0	0	0
"8"	0.99	0.01	0	0	0	0
"9"	0.998	0.002	0	0	0	0
"10"	0.972	0.026	0	0	0.002	0
"11"	1	0	0	0	0	0
"12"	0.998	0	0	0	0.002	0
"13"	0.994	0.004	0	0	0.002	0
"14"	1	0	0	0	0	0
"15"	0.98	0.006	0	0.006	0.008	0
"16"	0.994	0.002	0	0.004	0	0
"17"	1	0	0	0	0	0
"18"	0.998	0.002	0	0	0	0
"19"	0.984	0.014	0	0	0.002	0
"20"	0.996	0.002	0	0	0.002	0
"21"	0.986	0.01	0	0	0.004	0
"22"	0.998	0.002	0	0	0	0
"23"	0.994	0.006	0	0	0	0
"24"	1	0	0	0	0	0
"25"	1	0	0	0	0	0
"26"	0.972	0.028	0	0	0	0
"27"	0.976	0.024	0	0	0	0
"28"	1	0	0	0	0	0
"29"	1	0	0	0	0	0
"30"	0.998	0.002	0	0	0	0
"31"	1	0	0	0	0	0
"32"	0.986	0.014	0	0	0	0
"33"	1	0	0	0	0	0
"34"	1	0	0	0	0	0
"35"	1	0	0	0	0	0
"36"	1	0	0	0	0	0
"37"	0.996	0.004	0	0	0	0
"38"	0.96	0.03	0.006	0.004	0	0
"39"	1	0	0	0	0	0
"40"	0.998	0.002	0	0	0	0
"41"	0.998	0	0	0.002	0	0
"42"	0.99	0.008	0	0.002	0	0
"43"	0.994	0.006	0	0	0	0
"44"	0.994	0.006	0	0	0	0
"45"	0.418	0.58	0	0.002	0	0
"46"	0.992	0.008	0	0	0	0
"47"	0.948	0.052	0	0	0	0
"48"	0.938	0.03	0.012	0.02	0	0
"49"	0.996	0.002	0	0.002	0	0
"50"	0.99	0.01	0	0	0	0
"51"	1	0	0	0	0	0
"52"	0.992	0.008	0	0	0	0
"53"	0.992	0.006	0	0.002	0	0
"54"	0.986	0.014	0	0	0	0
"55"	0.988	0.002	0.004	0.004	0.002	0
"56"	0.996	0.004	0	0	0	0
"57"	0.998	0.002	0	0	0	0
"58"	0.998	0.002	0	0	0	0
"59"	0.996	0.004	0	0	0	0
"60"	0.974	0.026	0	0	0	0
"61"	0.99	0.008	0	0	0.002	0
"62"	0.972	0.028	0	0	0	0
"63"	0.982	0.018	0	0	0	0
"64"	1	0	0	0	0	0
"65"	0.998	0.002	0	0	0	0
"66"	0.998	0.002	0	0	0	0
"67"	0.998	0.002	0	0	0	0
"68"	0.988	0.002	0.004	0.006	0	0
"69"	0.998	0.002	0	0	0	0
"70"	0.998	0.002	0	0	0	0
"71"	0.992	0.008	0	0	0	0
"72"	0.992	0.004	0.002	0.002	0	0
"73"	0.998	0.002	0	0	0	0
"74"	1	0	0	0	0	0
"75"	0.996	0.004	0	0	0	0
"76"	0.992	0.006	0	0.002	0	0
"77"	0.998	0	0	0.002	0	0
"78"	0.996	0.004	0	0	0	0
"79"	0.992	0.008	0	0	0	0
"80"	0.988	0.002	0	0.01	0	0
"81"	0.996	0.002	0	0.002	0	0
"82"	0.994	0.002	0	0.004	0	0
"83"	0.984	0.008	0	0.008	0	0
"84"	0.996	0	0.002	0.002	0	0
"85"	1	0	0	0	0	0
"86"	0.994	0	0.002	0.004	0	0
"87"	0.996	0	0.002	0.002	0	0
"88"	1	0	0	0	0	0
"89"	0.994	0.006	0	0	0	0
"90"	0.99	0.004	0.002	0.004	0	0
"91"	0.96	0.02	0	0	0.02	0
"92"	0.986	0.014	0	0	0	0
"93"	0.962	0.016	0	0.006	0.016	0
"94"	0.984	0.008	0	0	0.008	0
"95"	0.984	0.012	0.002	0.002	0	0
"96"	0.998	0	0	0.002	0	0
"97"	1	0	0	0	0	0
"98"	0.986	0	0.002	0.012	0	0
"99"	0.992	0.008	0	0	0	0
"100"	1	0	0	0	0	0
"101"	1	0	0	0	0	0
"102"	0.978	0.012	0	0.002	0.008	0
"103"	0.988	0.01	0	0.002	0	0
"104"	0.99	0.002	0	0.008	0	0
"105"	0.998	0.002	0	0	0	0
"106"	1	0	0	0	0	0
"107"	0.984	0.004	0	0.01	0.002	0
"108"	0.984	0.012	0	0.002	0.002	0
"109"	0.982	0.008	0	0	0.01	0
"110"	0.984	0.012	0	0	0.004	0
"111"	0.994	0.002	0	0.004	0	0
"112"	0.96	0.006	0	0.02	0.014	0
"113"	0.976	0.014	0	0.004	0.006	0
"114"	0.974	0.01	0	0.014	0.002	0
"115"	0.966	0.016	0	0.006	0.012	0
"116"	0.972	0.016	0	0.002	0.01	0
"117"	0.954	0.032	0	0.002	0.012	0
"118"	0.886	0.06	0	0.004	0.05	0
"119"	0.974	0.014	0	0	0.012	0
"120"	0.952	0.026	0	0	0.022	0
"121"	0.842	0.13	0	0	0.028	0
"122"	0.204	0.766	0	0	0.03	0
"123"	0.022	0.952	0	0	0.026	0
"124"	0.024	0.948	0	0	0.028	0
"125"	0.096	0.85	0	0.002	0.052	0
"126"	0.01	0.984	0	0	0.006	0
"127"	0.048	0.93	0	0.002	0.02	0
"128"	0.004	0.992	0	0	0.004	0
"129"	0.002	0.998	0	0	0	0
"130"	0	0.994	0	0	0.006	0
"131"	0.002	0.996	0	0	0.002	0
"132"	0.002	0.97	0	0	0.028	0
"133"	0.006	0.988	0	0	0.006	0
"134"	0.004	0.982	0	0	0.014	0
"135"	0.006	0.968	0	0	0.024	0.002
"136"	0.008	0.978	0	0	0.014	0
"137"	0.018	0.942	0	0	0.04	0
"138"	0.04	0.95	0	0	0.01	0
"139"	0.002	0.988	0	0	0.01	0
"140"	0.002	0.994	0	0	0.004	0
"141"	0	0.966	0	0	0.03	0.004
"142"	0.026	0.848	0	0	0.114	0.012
"143"	0.076	0.856	0	0	0.054	0.014
"144"	0.006	0.958	0	0	0.036	0
"145"	0.022	0.894	0	0	0.082	0.002
"146"	0.028	0.726	0	0	0.246	0
"147"	0.736	0.228	0	0	0.036	0
"148"	0.16	0.796	0	0	0.044	0
